mail,label,
Business terms and conditions to continue our deal,2,
I'm sorry that I couldn't get to your birthday party.,1,
Your Amazon.in order #405 of 1 item has been dispatched,5,
We thought you'd like to know that we've dispatched your item(s). Your order is on the way.,5,
"For the secure delivery of your order, it will be delivered in a secure, tamper proof package with a unique ID.",5,
Your item(s) is (are) being sent by Amazon Transportation Services. Your tracking number is: 2223. Please note that a signature may be required for the delivery of the package.,5,
" On the delivery day, we’ll also send you an OTP (One Time Password) you’ll use to accept the package. ",4,
"Are you looking for something in our Smartphones  store? If so, you might be interested in these items.",5,
See terms and conditions carefully related to our deal which we have finalised ,2,
"After two months, membership will continue at  Rs 199/month. Renews automatically. Cancel anytime.",5,
"Contact Customer Service for any questions, or if you need assistance.",5,
You may adjust your communication preferences by updating your notification settings.,5,
Join Prime again & get Rs 250 cashback!,5,
"Looks like you’re missing out on blockbuster entertainment, FREE fast delivery, ad-free music & more. Join Prime again & get Rs 250 Amazon Pay cashback. So why wait? Make the most of this limited period offer.",5,
Prime Video provides occasional email updates about new and noteworthy movies and TV shows.,5,
"We are sensitive to your time and remain committed to limiting our emails to important news, as well as critical information about your account.",5,
"If you do not want to receive future e-mails of this sort from Prime Video, please modify your account settings ",5,
"©2022 Amazon.com, Inc. or its affiliates. Amazon, Prime, Prime Video, Twitch, Fire, and all related logos are trademarks of Amazon.com, Inc. or its affiliates",5,
"On this episode of the we introduce five compelling and original voices we can't wait to hear more from, including Jonathan Majors, Ana Lily Amirpour, and others.",5,
Buy everything on your wishlist. Flat 12.5% cashback on Amazon.in,5,
Wednesdays full of WOW,5,
Quality Products. Delivered Fast.,5,
"Everything that you need, we got them made for you ",5,
Top Deals on Top Collections ,5,
It's Raining Discounts on Brands,5,
B.E.S.T.S.E.L.L.E.R.S of Big Shopping Days!,5,
"Knock, Knock...Who's there? It's Min.50% Off",5,
From under  Rs 99 & more | 16 varieties to start your day with,5,
Last Few Hours - UP TO 90% Off!,5,
Last Day of Big Shopping Days! Best Offers Running Out ,5,
Crazy Deals! Unbelievable Deals! Blockbuster Deals! ,5,
CRAAZZZYYYY DEALS | #BigShoppingDay,5,
"SUPER SAVERSunder Rs 99, Rs 299 & more. You can't RESIST them for sure!",5,
D.E.A.L.S at Min.70% & more! Can't say NO to these,5,
Big Shopping Days are back! Biggest Offers coming your way!,5,
Stay AWAKE for the Biggest Offers EVER!,5,
Saturday Happy Hours | 50% OFF on EVERYTHING!,5,
B.R.A.N.D or B.U.D.G.E.T - What will you pick today?,5,
OMG! It's the HALF Off Sale,5,
"Knock, Knock! Offers Inside, starting from ?99",5,
GRAB UP TO 90% OFF! Last Few Hours to Go,5,
Meet the Bestsellers...and have some FUN too,5,
Only at No Kidding Days! 1st - 2nd April,5,
Let's Split the Bill,3,
Half Price Store - Now Open!,5,
Wednesdays = WOW | Deals From Rs 299,5,
Hooray! It's M-I-N-I-M-U-M 50% Off,5,
S-U-R-P-R-I-S-E !!!! Offers from Rs 229 on wards,5,
Everything under Rs.299!,5,
Shop the must-haves,5,
Pssst..we have a SCOOP! Rs 750 is all you need,5,
Don't miss it!,5,
"Hurry, these products go out fast!",5,
Up to 90% Off Limited Time Deals,5,
We have been specializing in this business since last ten years.,2,
Our client list includes the reputed organizations in the city.,2,
Our clients have been satisfied by our service and we have never received a single complaint since the inception of the business. ,2,
It would be a great honor do business with you and that will add another reputed organization in our client list.,2,
I am also attaching a word file stating our quotation. In case of any further query you can mail us or call us at 56477887888,2,
Designation :Managing director Company name : ABC solutions LTD Address: 12 Archangelosstr ,2,
Subject: Thank you for the Senior Software job Engineer interview on 12-02-18,2,
Thank you very much for your time today to interview me for the position of Senior Software Engineer. ,2,
"I appreciate the opportunity to learn more about this job, to meet you and all other interviewers, and to see your facility , offices rules and regulations.",2,
"As we discussed, I have 6 years of experience with software engineer. ",2,
"With my background and experience, I believe that I could become a contributor to your team very quickly.",2,
I am excited about this opportunity to join your company. Please do not hesitate to email or call me if you have any questions or need any additional information.,2,
I look forward to hearing from you about my job interview result.,2,
Subject: Thanking you for the business meeting,2,
It gives me great pleasure in writing this email to you after the business meeting we had last week.,2,
I really thank you for taking time out to meet me on account of the marketing operations that our company is starting. ,2,
As a parent company you have taken so much care and concern to provide the necessary business information to your franchisees like us.,2,
After the meeting and getting to know the many aspects of marketing from you certainly proved to be very helpful. ,2,
The information provided by you during the meeting will be very useful for us to expand our business in the long run.,2,
I have made a note of all the business associates of our company and will surely get in touch with them as suggested by you for further details on business plan implementation.,2,
It is interaction with you and all the other team members of your company that I feel more confident on account of enhancement in my marketing skills.,2,
I will ensure to communicate with other business associates as and when need arises.,2,
Once again I thank you for all the support and hope to expand my business network in the near future.,2,
I want to bid farewell to you all and inform you that I am leaving my position at []. Tomorrow is my last day at work.,2,
I have enjoyed working for this company and I appreciate having had this wonderful opportunity to work with you all.,2,
During these last two years you all have provided me support and through your encouragement and guidance I have been able to excel at the projects offered to me. ,2,
"With many of you, I have shared a unique camaraderie which I hope will continue in the years to come even though I shall not be here with the company. ",2,
I now look forward to this new position that brings forth new challenges and adds more diverse experience to my career.,2,
I do wish you and the company every success in all its future endeavors. You can be in touch with me by,2,
"Also, I would like to add you to my LinkedIn profile, if you would as well, please do accept the invitation. I shall be sending you requests to join my LinkedIn network soon.",2,
"If you ever want to get in touch, my contact info is below. This isn’t goodbye, our paths will cross again. ",2,
I’m excited about my future there while I continue to be excited about all the things you’ll continue to accomplish here,2,
"After three great years , I am leaving my position at ABC Corporation.",2,
 It was amazing to work with with such talented people. ,2,
"I am particularly proud of the teamwork we showed in winning our biggest account to date, the INC company ",2,
Subject: new business relationship establishement contract rules and regulations,2,
"I, Kell Anthony, the owner of Fiscal Group of Companies am writing this mail to you to formally start this new business association between our companies.",2,
I would begin by telling you that we are very glad to be associated with your prestigious business firm and will try to take this relationship well ahead in the future.,2,
Your company Redding London Private Limited is respected firm which works on the same principles which we too follow. ,2,
This relationship is not only beneficial for us but for you as well and I would urge you  to work towards building this into a very successful collaboration.  ,2,
"Through mutual understanding, the right synchronization of actions and financial honesty, we must squeeze out the best possibilities for ourself.",2,
I would like to inform you that I have signed the contract and am attaching a signed copy for your reference. Hope to have a great relationship with your firm.,2,
I really enjoyed our phone conversation earlier today and especially liked learning about your unique role at your company.,2,
"Please let me know if you have any questions. Otherwise, I look forward to talking with you again on [date and time].",2,
"As promised, I have attached  the resources and materials that can help you better understand how we can help you solve ",2,
"It was great meeting you today, and I appreciate you taking the time to interview me.",2,
 I'm excited to be considered for the web developer role position as well as all of the opportunities the company presents.,2,
"Thank you for your consideration, and I look forward to following up with you.",2,
Subject – INVITATION TO THE 6th ANNUAL ENTREPRENEURSHIP PROMOTION CONFERENCE,2,
"We would like to invite you to attend the 6th Annual Conference organised by The Promoters Inc. , which is slated to hold from 13th Jan 2016 – 15th Jan 2016 at the Sheraton Hotel and Conference Center, Sydney Australia",2,
Kindly let us have your response by December 31st 2015 so that we can make further arrangements. We look forward to receiving a favorable consideration from you. We may also be contacted on phone at 565664434.,2,
This OTP will remain valid until 11:59 PM tonight. ,4,
Please don’t share this confidential OTP with anyone.,4,
"In case your package is not delivered today, we’ll try again tomorrow and send you a new OTP.",4,
"To ensure your safety, the Delivery Agent will drop the package at your doorstep, ring the doorbell and then move back 2 meters while waiting for you to collect your package.",5,
"If you are in a containment zone, the agent will call you and request you to collect your package from the nearest accessible point while following the same No-Contact delivery process.",5,
Your Recharge of Mobile 564444677 for Rs.71 is Successful,3,
"If you have queries regarding your Recharge, please contact  customer care ",3,
"Please do not share your Paytm password, Paytm passcode, OTP, Credit/Debit card number and CVV or any other confidential information with anyone even if he/she claims to be from Paytm. We advise our customers to completely ignore such communications.",3,
Balance Summary for Financial Year 2015-16,3,
A detailed statement of your wallet transactions is attached with this e-mail.,3,
"Never Share your Card number, CVV, PIN, OTP, or Passcode with anyone, even if the caller claims to be a bank employee. Sharing these details can lead to unauthorised access to your account.",3,
Beware and DO NOT click on any suspicious or unknown links sent via SMS/email. They may mirror your device to steal confidential information such as OTPs.,4,
"To authenticate, please use the following One Time Password (OTP):",4,
Do not share this OTP with anyone.,4,
"Amazon Customer Service will never ask you to disclose or verify your Amazon password, OTP, credit card, or banking account number.",4,
Your email id Verification OTP code is : 656463,4,
Electricity Bill Due! Pay Now at Paytm.,3,
Rs.94 added successfully.,3,
Rs 5 added as cashback in Paytm wallet,3,
New Gas Bill! Pay Now at Paytm.,3,
Gas Bill Due! Pay Now at Paytm.,3,
Refund for your failed Recharge of Mobile 7633331434 for Rs.100,3,
There was a problem in processing the payment. ,3,
"If the amount was debited from your account, it will be refunded automatically within 72 hours.",3,
